id,synsetId,subSynsetId,modelId,split
imgcond_0000084,mito,mito,fib1-3-3-0_inst_000025,val
imgcond_0000085,mito,mito,fib1-3-3-0_inst_000027,val
imgcond_0000086,mito,mito,fib1-3-3-0_inst_000028,val
imgcond_0000087,mito,mito,fib1-3-3-0_inst_000029,val
imgcond_0000088,mito,mito,fib1-3-3-0_inst_000030,val
imgcond_0000089,mito,mito,fib1-3-3-0_inst_000033,val
imgcond_0000090,mito,mito,fib1-3-3-0_inst_000035,val
imgcond_0000091,mito,mito,fib1-3-3-0_inst_000038,val
imgcond_0000092,mito,mito,fib1-3-3-0_inst_000040,val
imgcond_0000093,mito,mito,fib1-3-3-0_inst_000041,val
imgcond_0000094,mito,mito,fib1-3-3-0_inst_000042,val
imgcond_0000095,mito,mito,fib1-3-3-0_inst_000044,val
imgcond_0000096,mito,mito,fib1-3-3-0_inst_000045,val
imgcond_0000097,mito,mito,fib1-3-3-0_inst_000046,val
imgcond_0000098,mito,mito,fib1-3-3-0_inst_000047,val
imgcond_0000099,mito,mito,fib1-3-3-0_inst_000049,val
imgcond_0000100,mito,mito,fib1-3-3-0_inst_000051,val
imgcond_0000101,mito,mito,fib1-3-3-0_inst_000052,val
imgcond_0000102,mito,mito,fib1-3-3-0_inst_000053,val
imgcond_0000103,mito,mito,fib1-3-3-0_inst_000054,val
imgcond_0000104,mito,mito,fib1-3-3-0_inst_000055,val
imgcond_0000105,mito,mito,fib1-3-3-0_inst_000059,val
imgcond_0000106,mito,mito,fib1-3-3-0_inst_000060,val
imgcond_0000107,mito,mito,fib1-3-3-0_inst_000061,val
imgcond_0000108,mito,mito,fib1-3-3-0_inst_000062,val
imgcond_0000109,mito,mito,fib1-3-3-0_inst_000063,val
imgcond_0000110,mito,mito,fib1-3-3-0_inst_000064,val
imgcond_0000111,mito,mito,fib1-3-3-0_inst_000066,val
imgcond_0000112,mito,mito,fib1-3-3-0_inst_000068,val
imgcond_0000113,mito,mito,fib1-3-3-0_inst_000070,val
imgcond_0000114,mito,mito,fib1-3-3-0_inst_000071,val
imgcond_0000115,mito,mito,fib1-3-3-0_inst_000073,val
imgcond_0000116,mito,mito,fib1-3-3-0_inst_000075,val
imgcond_0000117,mito,mito,fib1-3-3-0_inst_000077,val
imgcond_0000118,mito,mito,fib1-4-3-0_inst_000014,train
imgcond_0000119,mito,mito,fib1-4-3-0_inst_000015,train
imgcond_0000120,mito,mito,fib1-4-3-0_inst_000016,train
imgcond_0000121,mito,mito,fib1-4-3-0_inst_000017,train
imgcond_0000122,mito,mito,fib1-4-3-0_inst_000018,train
imgcond_0000123,mito,mito,fib1-4-3-0_inst_000019,train
imgcond_0000124,mito,mito,fib1-4-3-0_inst_000020,train
imgcond_0000125,mito,mito,fib1-4-3-0_inst_000022,train
imgcond_0000126,mito,mito,fib1-4-3-0_inst_000023,train
imgcond_0000127,mito,mito,fib1-4-3-0_inst_000024,train
imgcond_0000128,mito,mito,fib1-4-3-0_inst_000026,train
imgcond_0000129,mito,mito,fib1-4-3-0_inst_000028,train
imgcond_0000130,mito,mito,fib1-4-3-0_inst_000029,train
imgcond_0000131,mito,mito,fib1-4-3-0_inst_000030,train
imgcond_0000132,mito,mito,fib1-4-3-0_inst_000031,train
imgcond_0000133,mito,mito,fib1-4-3-0_inst_000032,train
imgcond_0000134,mito,mito,fib1-4-3-0_inst_000033,train
imgcond_0000135,mito,mito,fib1-4-3-0_inst_000034,train
imgcond_0000136,mito,mito,fib1-4-3-0_inst_000035,train
imgcond_0000137,mito,mito,fib1-4-3-0_inst_000036,train
imgcond_0000138,mito,mito,fib1-4-3-0_inst_000037,train
imgcond_0000139,mito,mito,fib1-4-3-0_inst_000038,train
imgcond_0000140,mito,mito,fib1-4-3-0_inst_000040,train
imgcond_0000141,mito,mito,fib1-4-3-0_inst_000041,train
imgcond_0000142,mito,mito,fib1-4-3-0_inst_000042,train
imgcond_0000143,mito,mito,fib1-4-3-0_inst_000043,train
imgcond_0000144,mito,mito,fib1-4-3-0_inst_000044,train
imgcond_0000145,mito,mito,fib1-4-3-0_inst_000046,train
imgcond_0000146,mito,mito,fib1-4-3-0_inst_000047,train
imgcond_0000147,mito,mito,fib1-4-3-0_inst_000048,train
imgcond_0000148,mito,mito,fib1-4-3-0_inst_000049,train
imgcond_0000149,mito,mito,fib1-4-3-0_inst_000051,train
imgcond_0000150,mito,mito,fib1-4-3-0_inst_000052,train
imgcond_0000151,mito,mito,fib1-4-3-0_inst_000053,train
imgcond_0000152,mito,mito,fib1-4-3-0_inst_000054,train
imgcond_0000153,mito,mito,fib1-4-3-0_inst_000055,train
imgcond_0000154,mito,mito,fib1-4-3-0_inst_000056,train
imgcond_0000155,mito,mito,fib1-4-3-0_inst_000057,train
imgcond_0000156,mito,mito,fib1-4-3-0_inst_000058,train
imgcond_0000157,mito,mito,fib1-4-3-0_inst_000061,train
imgcond_0000158,mito,mito,fib1-4-3-0_inst_000063,train
imgcond_0000159,mito,mito,fib1-4-3-0_inst_000064,train
imgcond_0000160,mito,mito,fib1-4-3-0_inst_000065,train
imgcond_0000161,mito,mito,fib1-4-3-0_inst_000068,train
imgcond_0000162,mito,mito,fib1-4-3-0_inst_000069,train
imgcond_0000163,mito,mito,fib1-4-3-0_inst_000070,train
imgcond_0000164,fv,fv,fib1-0-0-0_inst_000027,train
imgcond_0000165,fv,fv,fib1-0-0-0_inst_000034,train
imgcond_0000166,fv,fv,fib1-0-0-0_inst_000037,train
imgcond_0000167,fv,fv,fib1-0-0-0_inst_000038,train
imgcond_0000168,fv,fv,fib1-0-0-0_inst_000039,train
imgcond_0000169,fv,fv,fib1-0-0-0_inst_000040,train
imgcond_0000170,fv,fv,fib1-0-0-0_inst_000041,train
imgcond_0000171,fv,fv,fib1-0-0-0_inst_000042,train
imgcond_0000172,fv,fv,fib1-0-0-0_inst_000043,train
imgcond_0000173,fv,fv,fib1-0-0-0_inst_000044,train
imgcond_0000174,fv,fv,fib1-0-0-0_inst_000047,train
imgcond_0000175,fv,fv,fib1-0-0-0_inst_000051,train
imgcond_0000176,fv,fv,fib1-0-0-0_inst_000052,train
imgcond_0000177,fv,fv,fib1-0-0-0_inst_000053,train
imgcond_0000178,fv,fv,fib1-0-0-0_inst_000054,train
imgcond_0000179,fv,fv,fib1-0-0-0_inst_000056,train
imgcond_0000180,fv,fv,fib1-0-0-0_inst_000057,train
imgcond_0000181,fv,fv,fib1-0-0-0_inst_000058,train
imgcond_0000182,fv,fv,fib1-0-0-0_inst_000059,train
imgcond_0000183,fv,fv,fib1-0-0-0_inst_000060,train
imgcond_0000184,fv,fv,fib1-0-0-0_inst_000061,train
imgcond_0000185,fv,fv,fib1-0-0-0_inst_000062,train
imgcond_0000186,fv,fv,fib1-0-0-0_inst_000063,train
imgcond_0000187,fv,fv,fib1-0-0-0_inst_000064,train
imgcond_0000188,fv,fv,fib1-0-0-0_inst_000065,train
imgcond_0000189,fv,fv,fib1-0-0-0_inst_000067,train
imgcond_0000190,fv,fv,fib1-0-0-0_inst_000068,train
imgcond_0000191,fv,fv,fib1-0-0-0_inst_000069,train
imgcond_0000192,fv,fv,fib1-0-0-0_inst_000070,train
imgcond_0000193,fv,fv,fib1-0-0-0_inst_000071,train
imgcond_0000194,fv,fv,fib1-0-0-0_inst_000072,train
imgcond_0000195,fv,fv,fib1-0-0-0_inst_000073,train
imgcond_0000196,fv,fv,fib1-0-0-0_inst_000074,train
imgcond_0000197,fv,fv,fib1-0-0-0_inst_000075,train
imgcond_0000198,fv,fv,fib1-0-0-0_inst_000076,train
imgcond_0000199,fv,fv,fib1-0-0-0_inst_000077,train
imgcond_0000200,fv,fv,fib1-0-0-0_inst_000078,train
imgcond_0000201,fv,fv,fib1-0-0-0_inst_000081,train
imgcond_0000202,fv,fv,fib1-0-0-0_inst_000082,train
imgcond_0000203,fv,fv,fib1-0-0-0_inst_000083,train
imgcond_0000204,fv,fv,fib1-0-0-0_inst_000084,train
imgcond_0000205,fv,fv,fib1-0-0-0_inst_000085,train
imgcond_0000206,fv,fv,fib1-0-0-0_inst_000086,train
imgcond_0000207,fv,fv,fib1-0-0-0_inst_000088,train
imgcond_0000208,fv,fv,fib1-0-0-0_inst_000089,train
imgcond_0000209,fv,fv,fib1-0-0-0_inst_000091,train
imgcond_0000210,fv,fv,fib1-0-0-0_inst_000093,train
imgcond_0000211,fv,fv,fib1-0-0-0_inst_000095,train
imgcond_0000212,fv,fv,fib1-0-0-0_inst_000098,train
imgcond_0000213,fv,fv,fib1-0-0-0_inst_000099,train
imgcond_0000214,fv,fv,fib1-0-0-0_inst_000100,train
imgcond_0000215,fv,fv,fib1-0-0-0_inst_000101,train
imgcond_0000216,fv,fv,fib1-0-0-0_inst_000106,train
imgcond_0000217,fv,fv,fib1-0-0-0_inst_000108,train
imgcond_0000218,fv,fv,fib1-0-0-0_inst_000111,train
imgcond_0000219,fv,fv,fib1-3-2-1_inst_000018,train
imgcond_0000220,fv,fv,fib1-3-2-1_inst_000022,train
imgcond_0000221,fv,fv,fib1-3-2-1_inst_000023,train
imgcond_0000222,fv,fv,fib1-3-2-1_inst_000028,train
imgcond_0000223,fv,fv,fib1-3-2-1_inst_000032,train
imgcond_0000224,fv,fv,fib1-3-2-1_inst_000040,train
imgcond_0000225,fv,fv,fib1-3-2-1_inst_000041,train
imgcond_0000226,fv,fv,fib1-3-2-1_inst_000049,train
imgcond_0000227,fv,fv,fib1-3-2-1_inst_000056,train
imgcond_0000228,fv,fv,fib1-3-2-1_inst_000058,train
imgcond_0000229,fv,fv,fib1-3-2-1_inst_000061,train
imgcond_0000230,fv,fv,fib1-3-2-1_inst_000064,train
imgcond_0000231,fv,fv,fib1-3-2-1_inst_000065,train
imgcond_0000232,fv,fv,fib1-3-2-1_inst_000066,train
imgcond_0000233,fv,fv,fib1-3-2-1_inst_000067,train
imgcond_0000234,fv,fv,fib1-3-2-1_inst_000068,train
imgcond_0000235,fv,fv,fib1-3-2-1_inst_000069,train
imgcond_0000236,fv,fv,fib1-3-2-1_inst_000073,train
imgcond_0000237,fv,fv,fib1-3-2-1_inst_000075,train
imgcond_0000238,fv,fv,fib1-3-2-1_inst_000076,train
imgcond_0000239,fv,fv,fib1-3-2-1_inst_000079,train
imgcond_0000240,fv,fv,fib1-3-2-1_inst_000080,train
imgcond_0000241,fv,fv,fib1-3-2-1_inst_000084,train
imgcond_0000242,fv,fv,fib1-3-2-1_inst_000085,train
imgcond_0000243,fv,fv,fib1-3-2-1_inst_000096,train
imgcond_0000244,fv,fv,fib1-3-3-0_inst_000018,val
imgcond_0000245,fv,fv,fib1-3-3-0_inst_000020,val
imgcond_0000246,fv,fv,fib1-3-3-0_inst_000026,val
imgcond_0000247,fv,fv,fib1-3-3-0_inst_000031,val
imgcond_0000248,fv,fv,fib1-3-3-0_inst_000032,val
imgcond_0000249,fv,fv,fib1-3-3-0_inst_000034,val
imgcond_0000250,fv,fv,fib1-3-3-0_inst_000036,val
imgcond_0000251,fv,fv,fib1-3-3-0_inst_000043,val
imgcond_0000252,fv,fv,fib1-3-3-0_inst_000056,val
imgcond_0000253,fv,fv,fib1-3-3-0_inst_000065,val
imgcond_0000254,fv,fv,fib1-3-3-0_inst_000067,val
imgcond_0000255,fv,fv,fib1-3-3-0_inst_000072,val
imgcond_0000256,fv,fv,fib1-3-3-0_inst_000082,val
imgcond_0000257,fv,fv,fib1-3-3-0_inst_000083,val
imgcond_0000258,fv,fv,fib1-4-3-0_inst_000039,train
imgcond_0000259,fv,fv,fib1-4-3-0_inst_000059,train
imgcond_0000260,fv,fv,fib1-4-3-0_inst_000062,train
imgcond_0000261,fv,fv,fib1-4-3-0_inst_000072,train
imgcond_0000262,fv,fv,fib1-4-3-0_inst_000078,train
imgcond_0000263,lyso,lyso,fib1-0-0-0_inst_000014,train
imgcond_0000264,lyso,lyso,fib1-1-0-3_inst_000011,train
imgcond_0000265,lyso,lyso,fib1-1-0-3_inst_000012,train
imgcond_0000266,lyso,lyso,fib1-1-0-3_inst_000013,train
imgcond_0000267,lyso,lyso,fib1-1-0-3_inst_000015,train
imgcond_0000268,lyso,lyso,fib1-1-0-3_inst_000016,train
imgcond_0000269,lyso,lyso,fib1-1-0-3_inst_000017,train
imgcond_0000270,lyso,lyso,fib1-3-2-1_inst_000002,train
imgcond_0000271,lyso,lyso,fib1-3-2-1_inst_000003,train
imgcond_0000272,lyso,lyso,fib1-3-2-1_inst_000004,train
imgcond_0000273,lyso,lyso,fib1-3-2-1_inst_000005,train
imgcond_0000274,lyso,lyso,fib1-3-2-1_inst_000006,train
imgcond_0000275,lyso,lyso,fib1-3-2-1_inst_000011,train
imgcond_0000276,lyso,lyso,fib1-3-3-0_inst_000001,val
imgcond_0000277,lyso,lyso,fib1-4-3-0_inst_000006,train
imgcond_0000278,lyso,lyso,fib1-4-3-0_inst_000007,train
imgcond_0000279,lyso,lyso,fib1-4-3-0_inst_000008,train
